INSERT INTO account (email, id, password, city) VALUES ('user8336@example.com', 'daaUcS', 'YVlozt8ch2', 'Phoenix');
INSERT INTO account (email, id, password, city) VALUES ('user240@example.com', 'e6oQrC', 'HHsIFNGH8S', 'Phoenix');
INSERT INTO account (email, id, password, city) VALUES ('user2943@example.com', '8hy07n', 'qxIThrlKAJ', 'New York');
INSERT INTO account (email, id, password, city) VALUES ('user4952@example.com', 'pOXsDr', 'IcljK9Kkqf', 'Chicago');
INSERT INTO account (email, id, password, city) VALUES ('user1233@example.com', 'zXtuCS', 'bspx03H0Ma', 'Houston');
INSERT INTO account (email, id, password, city) VALUES ('user4519@example.com', 'hw79YI', 'ufoBbeZW5T', 'New York');
INSERT INTO account (email, id, password, city) VALUES ('user6474@example.com', 'pTsdVE', 'RQOWkXFdZ2', 'Chicago');
INSERT INTO account (email, id, password, city) VALUES ('user7110@example.com', 'NcBVme', '82vfi8WkPF', 'Houston');
INSERT INTO account (email, id, password, city) VALUES ('user8054@example.com', '9uxkqm', 'VM5csVJnAm', 'Houston');
INSERT INTO account (email, id, password, city) VALUES ('user7760@example.com', 'LvTC5q', 'OfizdZ1AUx', 'Chicago');
INSERT INTO account (email, id, password, city) VALUES ('user966@example.com', 'zhZFEb', 'k6riJ8BXA2', 'Los Angeles');
INSERT INTO account (email, id, password, city) VALUES ('user8433@example.com', 'slQ3I9', 'RhdZ8EBbaj', 'Phoenix');
INSERT INTO account (email, id, password, city) VALUES ('user6005@example.com', 'Rm7wMi', 'xfZeosdW9D', 'Chicago');
INSERT INTO account (email, id, password, city) VALUES ('user6427@example.com', 'XCjkDK', 'XLgaBrseRx', 'Los Angeles');
INSERT INTO account (email, id, password, city) VALUES ('user7049@example.com', 'Vozdgg', 'TZxEVsa9aI', 'Phoenix');
INSERT INTO account (email, id, password, city) VALUES ('user9035@example.com', 'ZnEYX1', 'L5gjDSgD04', 'New York');
INSERT INTO account (email, id, password, city) VALUES ('user799@example.com', 'kjDv9Y', 'J9GsYOSgq3', 'Los Angeles');
INSERT INTO account (email, id, password, city) VALUES ('user4508@example.com', 'RwG3eq', 'VtzlTjnNBK', 'Phoenix');
INSERT INTO account (email, id, password, city) VALUES ('user9696@example.com', 'ha6JZ4', 'AR7nUTo4My', 'Chicago');
INSERT INTO account (email, id, password, city) VALUES ('user5093@example.com', '447ZHb', 'yj8vK2oCOa', 'Phoenix');
